,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
20,271.0,217.0,210.0,275.0,320.0,362.0,355.0,396.0,356.0,333.0,279.0,220.0,239.0,-401.0,-363.0,-620.0,-517.0,-331.328,-272.0,119.0,-22.0,161.0,185.0,220.74138,210.38765,-398.2,-506.0,-557.0,-674.0,-602.0,-414.46,-355.0,98.0,16.0,360.0,226.0,245.32759,235.67241,-391.56,-87.0,-59.0,-211.0,-240.0,42.988,-90.0,203.0,33.0,278.0,312.0,257.0,432.0,-128.95999999999998,22.0,73.0,-344.0,-408.0,-268.952,-239.0,110.0,10.0,296.0,296.0,327.10344,310.89656,-82.64
21,239.0,271.0,217.0,210.0,275.0,320.0,362.0,355.0,396.0,356.0,333.0,279.0,283.0,-398.2,-401.0,-363.0,-620.0,-517.0,-331.328,-272.0,119.0,-22.0,161.0,185.0,220.74138,-212.22128,-391.56,-506.0,-557.0,-674.0,-602.0,-414.46,-355.0,98.0,16.0,360.0,226.0,245.32759,-290.77968,-128.95999999999998,-87.0,-59.0,-211.0,-240.0,42.988,-90.0,203.0,33.0,278.0,312.0,257.0,27.055519999999987,-82.64,22.0,73.0,-344.0,-408.0,-268.952,-239.0,110.0,10.0,296.0,296.0,327.10344,42.35144000000001
22,283.0,239.0,271.0,217.0,210.0,275.0,320.0,362.0,355.0,396.0,356.0,333.0,300.0,-212.22128,-398.2,-401.0,-363.0,-620.0,-517.0,-331.328,-272.0,119.0,-22.0,161.0,185.0,39.964,-290.77968,-391.56,-506.0,-557.0,-674.0,-602.0,-414.46,-355.0,98.0,16.0,360.0,226.0,-66.764,27.055519999999987,-128.95999999999998,-87.0,-59.0,-211.0,-240.0,42.988,-90.0,203.0,33.0,278.0,312.0,221.952,42.35144000000001,-82.64,22.0,73.0,-344.0,-408.0,-268.952,-239.0,110.0,10.0,296.0,296.0,74.26400000000001
23,300.0,283.0,239.0,271.0,217.0,210.0,275.0,320.0,362.0,355.0,396.0,356.0,387.0,39.964,-212.22128,-398.2,-401.0,-363.0,-620.0,-517.0,-331.328,-272.0,119.0,-22.0,161.0,153.97199999999998,-66.764,-290.77968,-391.56,-506.0,-557.0,-674.0,-602.0,-414.46,-355.0,98.0,16.0,360.0,72.372,221.952,27.055519999999987,-128.95999999999998,-87.0,-59.0,-211.0,-240.0,42.988,-90.0,203.0,33.0,278.0,309.32800000000003,74.26400000000001,42.35144000000001,-82.64,22.0,73.0,-344.0,-408.0,-268.952,-239.0,110.0,10.0,296.0,127.956
24,387.0,300.0,283.0,239.0,271.0,217.0,210.0,275.0,320.0,362.0,355.0,396.0,332.0,153.97199999999998,39.964,-212.22128,-398.2,-401.0,-363.0,-620.0,-517.0,-331.328,-272.0,119.0,-22.0,135.384,72.372,-66.764,-290.77968,-391.56,-506.0,-557.0,-674.0,-602.0,-414.46,-355.0,98.0,16.0,66.18400000000001,309.32800000000003,221.952,27.055519999999987,-128.95999999999998,-87.0,-59.0,-211.0,-240.0,42.988,-90.0,203.0,33.0,341.544,127.956,74.26400000000001,42.35144000000001,-82.64,22.0,73.0,-344.0,-408.0,-268.952,-239.0,110.0,10.0,116.336
25,332.0,387.0,300.0,283.0,239.0,271.0,217.0,210.0,275.0,320.0,362.0,355.0,315.0,135.384,153.97199999999998,39.964,-212.22128,-398.2,-401.0,-363.0,-620.0,-517.0,-331.328,-272.0,119.0,-9.64,66.18400000000001,72.372,-66.764,-290.77968,-391.56,-506.0,-557.0,-674.0,-602.0,-414.46,-355.0,98.0,-5.296000000000007,341.544,309.32800000000003,221.952,27.055519999999987,-128.95999999999998,-87.0,-59.0,-211.0,-240.0,42.988,-90.0,203.0,227.688,116.336,127.956,74.26400000000001,42.35144000000001,-82.64,22.0,73.0,-344.0,-408.0,-268.952,-239.0,110.0,39.84
26,315.0,332.0,387.0,300.0,283.0,239.0,271.0,217.0,210.0,275.0,320.0,362.0,327.0,-9.64,135.384,153.97199999999998,39.964,-212.22128,-398.2,-401.0,-363.0,-620.0,-517.0,-331.328,-272.0,-226.164,-5.296000000000007,66.18400000000001,72.372,-66.764,-290.77968,-391.56,-506.0,-557.0,-674.0,-602.0,-414.46,-355.0,-253.032,227.688,341.544,309.32800000000003,221.952,27.055519999999987,-128.95999999999998,-87.0,-59.0,-211.0,-240.0,42.988,-90.0,85.06,39.84,116.336,127.956,74.26400000000001,42.35144000000001,-82.64,22.0,73.0,-344.0,-408.0,-268.952,-239.0,-114.16799999999998
27,327.0,315.0,332.0,387.0,300.0,283.0,239.0,271.0,217.0,210.0,275.0,320.0,275.0,-226.164,-9.64,135.384,153.97199999999998,39.964,-212.22128,-398.2,-401.0,-363.0,-620.0,-517.0,-331.328,-510.96,-253.032,-5.296000000000007,66.18400000000001,72.372,-66.764,-290.77968,-391.56,-506.0,-557.0,-674.0,-602.0,-414.46,-534.6800000000001,85.06,227.688,341.544,309.32800000000003,221.952,27.055519999999987,-128.95999999999998,-87.0,-59.0,-211.0,-240.0,42.988,-131.648,-114.16799999999998,39.84,116.336,127.956,74.26400000000001,42.35144000000001,-82.64,22.0,73.0,-344.0,-408.0,-268.952,-374.3440000000001
28,275.0,327.0,315.0,332.0,387.0,300.0,283.0,239.0,271.0,217.0,210.0,275.0,242.0,-510.96,-226.164,-9.64,135.384,153.97199999999998,39.964,-212.22128,-398.2,-401.0,-363.0,-620.0,-517.0,-578.76,-534.6800000000001,-253.032,-5.296000000000007,66.18400000000001,72.372,-66.764,-290.77968,-391.56,-506.0,-557.0,-674.0,-602.0,-581.688,-131.648,85.06,227.688,341.544,309.32800000000003,221.952,27.055519999999987,-128.95999999999998,-87.0,-59.0,-211.0,-240.0,-249.584,-374.3440000000001,-114.16799999999998,39.84,116.336,127.956,74.26400000000001,42.35144000000001,-82.64,22.0,73.0,-344.0,-408.0,-275.97599999999994
29,242.0,275.0,327.0,315.0,332.0,387.0,300.0,283.0,239.0,271.0,217.0,210.0,204.0,-578.76,-510.96,-226.164,-9.64,135.384,153.97199999999998,39.964,-212.22128,-398.2,-401.0,-363.0,-620.0,-634.0799999999999,-581.688,-534.6800000000001,-253.032,-5.296000000000007,66.18400000000001,72.372,-66.764,-290.77968,-391.56,-506.0,-557.0,-674.0,-598.2800000000001,-249.584,-131.648,85.06,227.688,341.544,309.32800000000003,221.952,27.055519999999987,-128.95999999999998,-87.0,-59.0,-211.0,-212.04,-275.97599999999994,-374.3440000000001,-114.16799999999998,39.84,116.336,127.956,74.26400000000001,42.35144000000001,-82.64,22.0,73.0,-344.0,-340.84000000000003
