,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
38,13.0,13.0,203.0,193.0,176.0,144.0,165.0,151.0,155.0,146.0,115.0,18.0,15.0,442.0,447.0,479.0,381.0,342.0,391.0,418.0,410.0,398.0,375.0,403.0,448.0,511.0,20.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,21.0,23.0,22.0,1050.464,659.7280000000001,294.944,176.88,76.77144000000001,-116.436,-347.624,-436.672,-193.8,-27.744000000000028,27.104,239.208,629.8159999999999
39,15.0,13.0,13.0,203.0,193.0,176.0,144.0,165.0,151.0,155.0,146.0,115.0,15.0,511.0,442.0,447.0,479.0,381.0,342.0,391.0,418.0,410.0,398.0,375.0,403.0,630.0,22.0,20.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,21.0,21.0,629.8159999999999,1050.464,659.7280000000001,294.944,176.88,76.77144000000001,-116.436,-347.624,-436.672,-193.8,-27.744000000000028,27.104,282.288
40,15.0,15.0,13.0,13.0,203.0,193.0,176.0,144.0,165.0,151.0,155.0,146.0,14.0,630.0,511.0,442.0,447.0,479.0,381.0,342.0,391.0,418.0,410.0,398.0,375.0,515.0,21.0,22.0,20.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,282.288,629.8159999999999,1050.464,659.7280000000001,294.944,176.88,76.77144000000001,-116.436,-347.624,-436.672,-193.8,-27.744000000000028,47.244
41,14.0,15.0,15.0,13.0,13.0,203.0,193.0,176.0,144.0,165.0,151.0,155.0,85.0,515.0,630.0,511.0,442.0,447.0,479.0,381.0,342.0,391.0,418.0,410.0,398.0,502.0,22.0,21.0,22.0,20.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,21.0,47.244,282.288,629.8159999999999,1050.464,659.7280000000001,294.944,176.88,76.77144000000001,-116.436,-347.624,-436.672,-193.8,214.48799999999997
42,85.0,14.0,15.0,15.0,13.0,13.0,203.0,193.0,176.0,144.0,165.0,151.0,48.0,502.0,515.0,630.0,511.0,442.0,447.0,479.0,381.0,342.0,391.0,418.0,410.0,538.0,21.0,22.0,21.0,22.0,20.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,214.48799999999997,47.244,282.288,629.8159999999999,1050.464,659.7280000000001,294.944,176.88,76.77144000000001,-116.436,-347.624,-436.672,246.61200000000008
43,48.0,85.0,14.0,15.0,15.0,13.0,13.0,203.0,193.0,176.0,144.0,165.0,15.0,538.0,502.0,515.0,630.0,511.0,442.0,447.0,479.0,381.0,342.0,391.0,418.0,501.0,22.0,21.0,22.0,21.0,22.0,20.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,246.61200000000008,214.48799999999997,47.244,282.288,629.8159999999999,1050.464,659.7280000000001,294.944,176.88,76.77144000000001,-116.436,-347.624,3.7520000000000095
44,15.0,48.0,85.0,14.0,15.0,15.0,13.0,13.0,203.0,193.0,176.0,144.0,183.0,501.0,538.0,502.0,515.0,630.0,511.0,442.0,447.0,479.0,381.0,342.0,391.0,483.0,22.0,22.0,21.0,22.0,21.0,22.0,20.0,22.0,22.0,21.0,22.0,22.0,21.0,3.7520000000000095,246.61200000000008,214.48799999999997,47.244,282.288,629.8159999999999,1050.464,659.7280000000001,294.944,176.88,76.77144000000001,-116.436,329.568
45,183.0,15.0,48.0,85.0,14.0,15.0,15.0,13.0,13.0,203.0,193.0,176.0,186.0,483.0,501.0,538.0,502.0,515.0,630.0,511.0,442.0,447.0,479.0,381.0,342.0,539.0,21.0,22.0,22.0,21.0,22.0,21.0,22.0,20.0,22.0,22.0,21.0,22.0,22.0,329.568,3.7520000000000095,246.61200000000008,214.48799999999997,47.244,282.288,629.8159999999999,1050.464,659.7280000000001,294.944,176.88,76.77144000000001,553.31104
46,186.0,183.0,15.0,48.0,85.0,14.0,15.0,15.0,13.0,13.0,203.0,193.0,246.0,539.0,483.0,501.0,538.0,502.0,515.0,630.0,511.0,442.0,447.0,479.0,381.0,535.0,22.0,21.0,22.0,22.0,21.0,22.0,21.0,22.0,20.0,22.0,22.0,21.0,21.0,553.31104,329.568,3.7520000000000095,246.61200000000008,214.48799999999997,47.244,282.288,629.8159999999999,1050.464,659.7280000000001,294.944,176.88,352.744
47,246.0,186.0,183.0,15.0,48.0,85.0,14.0,15.0,15.0,13.0,13.0,203.0,155.0,535.0,539.0,483.0,501.0,538.0,502.0,515.0,630.0,511.0,442.0,447.0,479.0,597.0,21.0,22.0,21.0,22.0,22.0,21.0,22.0,21.0,22.0,20.0,22.0,22.0,22.0,352.744,553.31104,329.568,3.7520000000000095,246.61200000000008,214.48799999999997,47.244,282.288,629.8159999999999,1050.464,659.7280000000001,294.944,391.448
