,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
59,186.0,160.0,132.0,140.0,155.0,183.0,141.0,135.0,205.0,134.0,145.0,131.0,196.0,54.0,102.0,135.0,125.0,168.0,144.0,103.0,115.0,50.0,39.0,43.0,91.0,135.0,62.0,58.0,74.0,72.0,86.0,49.0,46.0,51.0,82.0,96.0,104.0,69.0,96.0
60,196.0,186.0,160.0,132.0,140.0,155.0,183.0,141.0,135.0,205.0,134.0,145.0,186.0,135.0,54.0,102.0,135.0,125.0,168.0,144.0,103.0,115.0,50.0,39.0,43.0,56.0,96.0,62.0,58.0,74.0,72.0,86.0,49.0,46.0,51.0,82.0,96.0,104.0,122.0
61,186.0,196.0,186.0,160.0,132.0,140.0,155.0,183.0,141.0,135.0,205.0,134.0,204.0,56.0,135.0,54.0,102.0,135.0,125.0,168.0,144.0,103.0,115.0,50.0,39.0,59.0,122.0,96.0,62.0,58.0,74.0,72.0,86.0,49.0,46.0,51.0,82.0,96.0,76.0
62,204.0,186.0,196.0,186.0,160.0,132.0,140.0,155.0,183.0,141.0,135.0,205.0,202.0,59.0,56.0,135.0,54.0,102.0,135.0,125.0,168.0,144.0,103.0,115.0,50.0,50.0,76.0,122.0,96.0,62.0,58.0,74.0,72.0,86.0,49.0,46.0,51.0,82.0,95.0
63,202.0,204.0,186.0,196.0,186.0,160.0,132.0,140.0,155.0,183.0,141.0,135.0,233.0,50.0,59.0,56.0,135.0,54.0,102.0,135.0,125.0,168.0,144.0,103.0,115.0,95.0,95.0,76.0,122.0,96.0,62.0,58.0,74.0,72.0,86.0,49.0,46.0,51.0,46.0
64,233.0,202.0,204.0,186.0,196.0,186.0,160.0,132.0,140.0,155.0,183.0,141.0,247.0,95.0,50.0,59.0,56.0,135.0,54.0,102.0,135.0,125.0,168.0,144.0,103.0,103.0,46.0,95.0,76.0,122.0,96.0,62.0,58.0,74.0,72.0,86.0,49.0,46.0,42.0
65,247.0,233.0,202.0,204.0,186.0,196.0,186.0,160.0,132.0,140.0,155.0,183.0,199.0,103.0,95.0,50.0,59.0,56.0,135.0,54.0,102.0,135.0,125.0,168.0,144.0,122.0,42.0,46.0,95.0,76.0,122.0,96.0,62.0,58.0,74.0,72.0,86.0,49.0,50.0
66,199.0,247.0,233.0,202.0,204.0,186.0,196.0,186.0,160.0,132.0,140.0,155.0,185.0,122.0,103.0,95.0,50.0,59.0,56.0,135.0,54.0,102.0,135.0,125.0,168.0,157.0,50.0,42.0,46.0,95.0,76.0,122.0,96.0,62.0,58.0,74.0,72.0,86.0,63.0
67,185.0,199.0,247.0,233.0,202.0,204.0,186.0,196.0,186.0,160.0,132.0,140.0,163.0,157.0,122.0,103.0,95.0,50.0,59.0,56.0,135.0,54.0,102.0,135.0,125.0,116.0,63.0,50.0,42.0,46.0,95.0,76.0,122.0,96.0,62.0,58.0,74.0,72.0,56.0
68,163.0,185.0,199.0,247.0,233.0,202.0,204.0,186.0,196.0,186.0,160.0,132.0,178.0,116.0,157.0,122.0,103.0,95.0,50.0,59.0,56.0,135.0,54.0,102.0,135.0,102.0,56.0,63.0,50.0,42.0,46.0,95.0,76.0,122.0,96.0,62.0,58.0,74.0,47.0
69,178.0,163.0,185.0,199.0,247.0,233.0,202.0,204.0,186.0,196.0,186.0,160.0,166.0,102.0,116.0,157.0,122.0,103.0,95.0,50.0,59.0,56.0,135.0,54.0,102.0,58.0,47.0,56.0,63.0,50.0,42.0,46.0,95.0,76.0,122.0,96.0,62.0,58.0,45.0
70,166.0,178.0,163.0,185.0,199.0,247.0,233.0,202.0,204.0,186.0,196.0,186.0,214.0,58.0,102.0,116.0,157.0,122.0,103.0,95.0,50.0,59.0,56.0,135.0,54.0,43.0,45.0,47.0,56.0,63.0,50.0,42.0,46.0,95.0,76.0,122.0,96.0,62.0,53.0
71,214.0,166.0,178.0,163.0,185.0,199.0,247.0,233.0,202.0,204.0,186.0,196.0,219.0,43.0,58.0,102.0,116.0,157.0,122.0,103.0,95.0,50.0,59.0,56.0,135.0,29.0,53.0,45.0,47.0,56.0,63.0,50.0,42.0,46.0,95.0,76.0,122.0,96.0,97.0
72,219.0,214.0,166.0,178.0,163.0,185.0,199.0,247.0,233.0,202.0,204.0,186.0,213.0,29.0,43.0,58.0,102.0,116.0,157.0,122.0,103.0,95.0,50.0,59.0,56.0,61.0,97.0,53.0,45.0,47.0,56.0,63.0,50.0,42.0,46.0,95.0,76.0,122.0,132.0
73,213.0,219.0,214.0,166.0,178.0,163.0,185.0,199.0,247.0,233.0,202.0,204.0,213.0,61.0,29.0,43.0,58.0,102.0,116.0,157.0,122.0,103.0,95.0,50.0,59.0,60.0,132.0,97.0,53.0,45.0,47.0,56.0,63.0,50.0,42.0,46.0,95.0,76.0,90.0
74,213.0,213.0,219.0,214.0,166.0,178.0,163.0,185.0,199.0,247.0,233.0,202.0,252.0,60.0,61.0,29.0,43.0,58.0,102.0,116.0,157.0,122.0,103.0,95.0,50.0,38.0,90.0,132.0,97.0,53.0,45.0,47.0,56.0,63.0,50.0,42.0,46.0,95.0,72.0
