,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
45,5.0,3.0,27.0,3.0,17.0,17.0,1.0,0.0,0.0,136.0,268.0,263.0,36.0,336.0,338.0,331.0,335.0,399.0,398.0,452.0,123.0,146.0,174.0,359.0,318.0,377.0
46,36.0,5.0,3.0,27.0,3.0,17.0,17.0,1.0,0.0,0.0,136.0,268.0,3.0,377.0,336.0,338.0,331.0,335.0,399.0,398.0,452.0,123.0,146.0,174.0,359.0,408.0
47,3.0,36.0,5.0,3.0,27.0,3.0,17.0,17.0,1.0,0.0,0.0,136.0,75.0,408.0,377.0,336.0,338.0,331.0,335.0,399.0,398.0,452.0,123.0,146.0,174.0,453.0
48,75.0,3.0,36.0,5.0,3.0,27.0,3.0,17.0,17.0,1.0,0.0,0.0,188.0,453.0,408.0,377.0,336.0,338.0,331.0,335.0,399.0,398.0,452.0,123.0,146.0,508.0
49,188.0,75.0,3.0,36.0,5.0,3.0,27.0,3.0,17.0,17.0,1.0,0.0,89.0,508.0,453.0,408.0,377.0,336.0,338.0,331.0,335.0,399.0,398.0,452.0,123.0,420.0
50,89.0,188.0,75.0,3.0,36.0,5.0,3.0,27.0,3.0,17.0,17.0,1.0,514.0,420.0,508.0,453.0,408.0,377.0,336.0,338.0,331.0,335.0,399.0,398.0,452.0,472.0
51,514.0,89.0,188.0,75.0,3.0,36.0,5.0,3.0,27.0,3.0,17.0,17.0,348.0,472.0,420.0,508.0,453.0,408.0,377.0,336.0,338.0,331.0,335.0,399.0,398.0,194.0
52,348.0,514.0,89.0,188.0,75.0,3.0,36.0,5.0,3.0,27.0,3.0,17.0,411.0,194.0,472.0,420.0,508.0,453.0,408.0,377.0,336.0,338.0,331.0,335.0,399.0,149.0
53,411.0,348.0,514.0,89.0,188.0,75.0,3.0,36.0,5.0,3.0,27.0,3.0,177.0,149.0,194.0,472.0,420.0,508.0,453.0,408.0,377.0,336.0,338.0,331.0,335.0,152.0
54,177.0,411.0,348.0,514.0,89.0,188.0,75.0,3.0,36.0,5.0,3.0,27.0,48.0,152.0,149.0,194.0,472.0,420.0,508.0,453.0,408.0,377.0,336.0,338.0,331.0,264.0
55,48.0,177.0,411.0,348.0,514.0,89.0,188.0,75.0,3.0,36.0,5.0,3.0,101.0,264.0,152.0,149.0,194.0,472.0,420.0,508.0,453.0,408.0,377.0,336.0,338.0,213.0
56,101.0,48.0,177.0,411.0,348.0,514.0,89.0,188.0,75.0,3.0,36.0,5.0,98.0,213.0,264.0,152.0,149.0,194.0,472.0,420.0,508.0,453.0,408.0,377.0,336.0,161.0
57,98.0,101.0,48.0,177.0,411.0,348.0,514.0,89.0,188.0,75.0,3.0,36.0,102.0,161.0,213.0,264.0,152.0,149.0,194.0,472.0,420.0,508.0,453.0,408.0,377.0,138.0
58,102.0,98.0,101.0,48.0,177.0,411.0,348.0,514.0,89.0,188.0,75.0,3.0,98.0,138.0,161.0,213.0,264.0,152.0,149.0,194.0,472.0,420.0,508.0,453.0,408.0,133.0
59,98.0,102.0,98.0,101.0,48.0,177.0,411.0,348.0,514.0,89.0,188.0,75.0,102.0,133.0,138.0,161.0,213.0,264.0,152.0,149.0,194.0,472.0,420.0,508.0,453.0,164.0
60,102.0,98.0,102.0,98.0,101.0,48.0,177.0,411.0,348.0,514.0,89.0,188.0,102.0,164.0,133.0,138.0,161.0,213.0,264.0,152.0,149.0,194.0,472.0,420.0,508.0,171.0
61,102.0,102.0,98.0,102.0,98.0,101.0,48.0,177.0,411.0,348.0,514.0,89.0,95.0,171.0,164.0,133.0,138.0,161.0,213.0,264.0,152.0,149.0,194.0,472.0,420.0,156.0
62,95.0,102.0,102.0,98.0,102.0,98.0,101.0,48.0,177.0,411.0,348.0,514.0,20.0,156.0,171.0,164.0,133.0,138.0,161.0,213.0,264.0,152.0,149.0,194.0,472.0,146.0
63,20.0,95.0,102.0,102.0,98.0,102.0,98.0,101.0,48.0,177.0,411.0,348.0,3.0,146.0,156.0,171.0,164.0,133.0,138.0,161.0,213.0,264.0,152.0,149.0,194.0,144.0
