,0m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,0,1,2,3,4,5,6,7,8,9,10,11,12
32,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-711.372,-762.672,-745.08,-750.7439999999999,-723.496,-539.0,-345.0,-308.0,-304.0,-317.0,-529.284,-638.8,-595.924
33,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-595.924,-711.372,-762.672,-745.08,-750.7439999999999,-723.496,-539.0,-345.0,-308.0,-304.0,-317.0,-529.284,-497.0
34,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-497.0,-595.924,-711.372,-762.672,-745.08,-750.7439999999999,-723.496,-539.0,-345.0,-308.0,-304.0,-317.0,-305.0
35,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-305.0,-497.0,-595.924,-711.372,-762.672,-745.08,-750.7439999999999,-723.496,-539.0,-345.0,-308.0,-304.0,-280.0
36,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-280.0,-305.0,-497.0,-595.924,-711.372,-762.672,-745.08,-750.7439999999999,-723.496,-539.0,-345.0,-308.0,-260.0
37,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-260.0,-280.0,-305.0,-497.0,-595.924,-711.372,-762.672,-745.08,-750.7439999999999,-723.496,-539.0,-345.0,-328.12
38,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-328.12,-260.0,-280.0,-305.0,-497.0,-595.924,-711.372,-762.672,-745.08,-750.7439999999999,-723.496,-539.0,-625.0
39,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-625.0,-328.12,-260.0,-280.0,-305.0,-497.0,-595.924,-711.372,-762.672,-745.08,-750.7439999999999,-723.496,-576.0
40,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-576.0,-625.0,-328.12,-260.0,-280.0,-305.0,-497.0,-595.924,-711.372,-762.672,-745.08,-750.7439999999999,-680.232
41,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-680.232,-576.0,-625.0,-328.12,-260.0,-280.0,-305.0,-497.0,-595.924,-711.372,-762.672,-745.08,-485.064
42,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-485.064,-680.232,-576.0,-625.0,-328.12,-260.0,-280.0,-305.0,-497.0,-595.924,-711.372,-762.672,-112.048
43,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-112.048,-485.064,-680.232,-576.0,-625.0,-328.12,-260.0,-280.0,-305.0,-497.0,-595.924,-711.372,-760.96
44,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-760.96,-112.048,-485.064,-680.232,-576.0,-625.0,-328.12,-260.0,-280.0,-305.0,-497.0,-595.924,-594.0
45,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-594.0,-760.96,-112.048,-485.064,-680.232,-576.0,-625.0,-328.12,-260.0,-280.0,-305.0,-497.0,-491.99872
46,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-491.99872,-594.0,-760.96,-112.048,-485.064,-680.232,-576.0,-625.0,-328.12,-260.0,-280.0,-305.0,-301.0
47,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-301.0,-491.99872,-594.0,-760.96,-112.048,-485.064,-680.232,-576.0,-625.0,-328.12,-260.0,-280.0,-296.0
48,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-296.0,-301.0,-491.99872,-594.0,-760.96,-112.048,-485.064,-680.232,-576.0,-625.0,-328.12,-260.0,-327.28
49,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-327.28,-296.0,-301.0,-491.99872,-594.0,-760.96,-112.048,-485.064,-680.232,-576.0,-625.0,-328.12,-387.0
50,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-387.0,-327.28,-296.0,-301.0,-491.99872,-594.0,-760.96,-112.048,-485.064,-680.232,-576.0,-625.0,-515.304
51,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-515.304,-387.0,-327.28,-296.0,-301.0,-491.99872,-594.0,-760.96,-112.048,-485.064,-680.232,-576.0,-722.0
52,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-722.0,-515.304,-387.0,-327.28,-296.0,-301.0,-491.99872,-594.0,-760.96,-112.048,-485.064,-680.232,-773.6800000000001
53,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-773.6800000000001,-722.0,-515.304,-387.0,-327.28,-296.0,-301.0,-491.99872,-594.0,-760.96,-112.048,-485.064,-750.72
54,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-750.72,-773.6800000000001,-722.0,-515.304,-387.0,-327.28,-296.0,-301.0,-491.99872,-594.0,-760.96,-112.048,-729.48
55,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-729.48,-750.72,-773.6800000000001,-722.0,-515.304,-387.0,-327.28,-296.0,-301.0,-491.99872,-594.0,-760.96,-688.2280000000001
56,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-688.2280000000001,-729.48,-750.72,-773.6800000000001,-722.0,-515.304,-387.0,-327.28,-296.0,-301.0,-491.99872,-594.0,-459.984
57,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-459.984,-688.2280000000001,-729.48,-750.72,-773.6800000000001,-722.0,-515.304,-387.0,-327.28,-296.0,-301.0,-491.99872,-339.51608
58,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-339.51608,-459.984,-688.2280000000001,-729.48,-750.72,-773.6800000000001,-722.0,-515.304,-387.0,-327.28,-296.0,-301.0,-305.812
59,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-305.812,-339.51608,-459.984,-688.2280000000001,-729.48,-750.72,-773.6800000000001,-722.0,-515.304,-387.0,-327.28,-296.0,-335.24
60,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-335.24,-305.812,-339.51608,-459.984,-688.2280000000001,-729.48,-750.72,-773.6800000000001,-722.0,-515.304,-387.0,-327.28,-318.72
61,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-318.72,-335.24,-305.812,-339.51608,-459.984,-688.2280000000001,-729.48,-750.72,-773.6800000000001,-722.0,-515.304,-387.0,-309.804
62,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-309.804,-318.72,-335.24,-305.812,-339.51608,-459.984,-688.2280000000001,-729.48,-750.72,-773.6800000000001,-722.0,-515.304,-354.048
63,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-354.048,-309.804,-318.72,-335.24,-305.812,-339.51608,-459.984,-688.2280000000001,-729.48,-750.72,-773.6800000000001,-722.0,-441.84
64,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-441.84,-354.048,-309.804,-318.72,-335.24,-305.812,-339.51608,-459.984,-688.2280000000001,-729.48,-750.72,-773.6800000000001,-458.424
