,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
20,250.0,113.0,78.0,24.0,29.0,135.0,50.0,10.0,202.0,32.0,241.0,225.0,209.0,316.0,221.0,238.0,265.0,250.0,251.0,221.0,237.0,253.0,242.0,251.0,266.0,256.0,874.0,766.0,701.0,769.0,862.0,1050.0,1147.0,1331.0,1415.0,1302.0,1232.0,1007.0,791.0,90.0,94.0,80.0,75.0,63.0,59.0,50.0,55.0,57.0,62.0,68.83051,64.16949,78.0,601.0,187.0,178.0,184.0,179.0,184.0,173.0,185.0,184.0,178.0,184.0,179.0,585.0,1949.0,2132.0,1658.0,1218.0,1306.0,2092.0,1493.0,1393.0,2502.0,2296.0,2295.0,2309.0,2010.0
21,209.0,250.0,113.0,78.0,24.0,29.0,135.0,50.0,10.0,202.0,32.0,241.0,304.0,256.0,316.0,221.0,238.0,265.0,250.0,251.0,221.0,237.0,253.0,242.0,251.0,265.0,791.0,874.0,766.0,701.0,769.0,862.0,1050.0,1147.0,1331.0,1415.0,1302.0,1232.0,1116.0,78.0,90.0,94.0,80.0,75.0,63.0,59.0,50.0,55.0,57.0,62.0,68.83051,77.0,585.0,601.0,187.0,178.0,184.0,179.0,184.0,173.0,185.0,184.0,178.0,184.0,603.0,2010.0,1949.0,2132.0,1658.0,1218.0,1306.0,2092.0,1493.0,1393.0,2502.0,2296.0,2295.0,1943.0
22,304.0,209.0,250.0,113.0,78.0,24.0,29.0,135.0,50.0,10.0,202.0,32.0,327.0,265.0,256.0,316.0,221.0,238.0,265.0,250.0,251.0,221.0,237.0,253.0,242.0,256.0,1116.0,791.0,874.0,766.0,701.0,769.0,862.0,1050.0,1147.0,1331.0,1415.0,1302.0,1293.0,77.0,78.0,90.0,94.0,80.0,75.0,63.0,59.0,50.0,55.0,57.0,62.0,66.0,603.0,585.0,601.0,187.0,178.0,184.0,179.0,184.0,173.0,185.0,184.0,178.0,583.0,1943.0,2010.0,1949.0,2132.0,1658.0,1218.0,1306.0,2092.0,1493.0,1393.0,2502.0,2296.0,1789.0
23,327.0,304.0,209.0,250.0,113.0,78.0,24.0,29.0,135.0,50.0,10.0,202.0,567.0,256.0,265.0,256.0,316.0,221.0,238.0,265.0,250.0,251.0,221.0,237.0,253.0,281.0,1293.0,1116.0,791.0,874.0,766.0,701.0,769.0,862.0,1050.0,1147.0,1331.0,1415.0,1409.0,66.0,77.0,78.0,90.0,94.0,80.0,75.0,63.0,59.0,50.0,55.0,57.0,63.0,583.0,603.0,585.0,601.0,187.0,178.0,184.0,179.0,184.0,173.0,185.0,184.0,604.0,1789.0,1943.0,2010.0,1949.0,2132.0,1658.0,1218.0,1306.0,2092.0,1493.0,1393.0,2502.0,1790.0
24,567.0,327.0,304.0,209.0,250.0,113.0,78.0,24.0,29.0,135.0,50.0,10.0,553.0,281.0,256.0,265.0,256.0,316.0,221.0,238.0,265.0,250.0,251.0,221.0,237.0,270.0,1409.0,1293.0,1116.0,791.0,874.0,766.0,701.0,769.0,862.0,1050.0,1147.0,1331.0,1315.0,63.0,66.0,77.0,78.0,90.0,94.0,80.0,75.0,63.0,59.0,50.0,55.0,56.0,604.0,583.0,603.0,585.0,601.0,187.0,178.0,184.0,179.0,184.0,173.0,185.0,603.0,1790.0,1789.0,1943.0,2010.0,1949.0,2132.0,1658.0,1218.0,1306.0,2092.0,1493.0,1393.0,1536.0
25,553.0,567.0,327.0,304.0,209.0,250.0,113.0,78.0,24.0,29.0,135.0,50.0,518.0,270.0,281.0,256.0,265.0,256.0,316.0,221.0,238.0,265.0,250.0,251.0,221.0,240.0,1315.0,1409.0,1293.0,1116.0,791.0,874.0,766.0,701.0,769.0,862.0,1050.0,1147.0,948.0,56.0,63.0,66.0,77.0,78.0,90.0,94.0,80.0,75.0,63.0,59.0,50.0,53.0,603.0,604.0,583.0,603.0,585.0,601.0,187.0,178.0,184.0,179.0,184.0,173.0,544.0,1536.0,1790.0,1789.0,1943.0,2010.0,1949.0,2132.0,1658.0,1218.0,1306.0,2092.0,1493.0,662.0
26,518.0,553.0,567.0,327.0,304.0,209.0,250.0,113.0,78.0,24.0,29.0,135.0,489.0,240.0,270.0,281.0,256.0,265.0,256.0,316.0,221.0,238.0,265.0,250.0,251.0,252.0,948.0,1315.0,1409.0,1293.0,1116.0,791.0,874.0,766.0,701.0,769.0,862.0,1050.0,1226.0,53.0,56.0,63.0,66.0,77.0,78.0,90.0,94.0,80.0,75.0,63.0,59.0,90.0,544.0,603.0,604.0,583.0,603.0,585.0,601.0,187.0,178.0,184.0,179.0,184.0,553.0,662.0,1536.0,1790.0,1789.0,1943.0,2010.0,1949.0,2132.0,1658.0,1218.0,1306.0,2092.0,1324.0
27,489.0,518.0,553.0,567.0,327.0,304.0,209.0,250.0,113.0,78.0,24.0,29.0,344.0,252.0,240.0,270.0,281.0,256.0,265.0,256.0,316.0,221.0,238.0,265.0,250.0,240.0,1226.0,948.0,1315.0,1409.0,1293.0,1116.0,791.0,874.0,766.0,701.0,769.0,862.0,1075.0,90.0,53.0,56.0,63.0,66.0,77.0,78.0,90.0,94.0,80.0,75.0,63.0,103.0,553.0,544.0,603.0,604.0,583.0,603.0,585.0,601.0,187.0,178.0,184.0,179.0,369.0,1324.0,662.0,1536.0,1790.0,1789.0,1943.0,2010.0,1949.0,2132.0,1658.0,1218.0,1306.0,820.0
28,344.0,489.0,518.0,553.0,567.0,327.0,304.0,209.0,250.0,113.0,78.0,24.0,327.0,240.0,252.0,240.0,270.0,281.0,256.0,265.0,256.0,316.0,221.0,238.0,265.0,255.0,1075.0,1226.0,948.0,1315.0,1409.0,1293.0,1116.0,791.0,874.0,766.0,701.0,769.0,954.0,103.0,90.0,53.0,56.0,63.0,66.0,77.0,78.0,90.0,94.0,80.0,75.0,114.0,369.0,553.0,544.0,603.0,604.0,583.0,603.0,585.0,601.0,187.0,178.0,184.0,342.0,820.0,1324.0,662.0,1536.0,1790.0,1789.0,1943.0,2010.0,1949.0,2132.0,1658.0,1218.0,375.0
29,327.0,344.0,489.0,518.0,553.0,567.0,327.0,304.0,209.0,250.0,113.0,78.0,374.0,255.0,240.0,252.0,240.0,270.0,281.0,256.0,265.0,256.0,316.0,221.0,238.0,260.0,954.0,1075.0,1226.0,948.0,1315.0,1409.0,1293.0,1116.0,791.0,874.0,766.0,701.0,785.0,114.0,103.0,90.0,53.0,56.0,63.0,66.0,77.0,78.0,90.0,94.0,80.0,110.0,342.0,369.0,553.0,544.0,603.0,604.0,583.0,603.0,585.0,601.0,187.0,178.0,307.0,375.0,820.0,1324.0,662.0,1536.0,1790.0,1789.0,1943.0,2010.0,1949.0,2132.0,1658.0,1695.0
30,374.0,327.0,344.0,489.0,518.0,553.0,567.0,327.0,304.0,209.0,250.0,113.0,442.0,260.0,255.0,240.0,252.0,240.0,270.0,281.0,256.0,265.0,256.0,316.0,221.0,279.0,785.0,954.0,1075.0,1226.0,948.0,1315.0,1409.0,1293.0,1116.0,791.0,874.0,766.0,719.0,110.0,114.0,103.0,90.0,53.0,56.0,63.0,66.0,77.0,78.0,90.0,94.0,114.0,307.0,342.0,369.0,553.0,544.0,603.0,604.0,583.0,603.0,585.0,601.0,187.0,278.0,1695.0,375.0,820.0,1324.0,662.0,1536.0,1790.0,1789.0,1943.0,2010.0,1949.0,2132.0,2207.0
31,442.0,374.0,327.0,344.0,489.0,518.0,553.0,567.0,327.0,304.0,209.0,250.0,450.0,279.0,260.0,255.0,240.0,252.0,240.0,270.0,281.0,256.0,265.0,256.0,316.0,358.0,719.0,785.0,954.0,1075.0,1226.0,948.0,1315.0,1409.0,1293.0,1116.0,791.0,874.0,869.0,114.0,110.0,114.0,103.0,90.0,53.0,56.0,63.0,66.0,77.0,78.0,90.0,113.0,278.0,307.0,342.0,369.0,553.0,544.0,603.0,604.0,583.0,603.0,585.0,601.0,263.0,2207.0,1695.0,375.0,820.0,1324.0,662.0,1536.0,1790.0,1789.0,1943.0,2010.0,1949.0,2307.0
32,450.0,442.0,374.0,327.0,344.0,489.0,518.0,553.0,567.0,327.0,304.0,209.0,274.0,358.0,279.0,260.0,255.0,240.0,252.0,240.0,270.0,281.0,256.0,265.0,256.0,288.0,869.0,719.0,785.0,954.0,1075.0,1226.0,948.0,1315.0,1409.0,1293.0,1116.0,791.0,1186.0,113.0,114.0,110.0,114.0,103.0,90.0,53.0,56.0,63.0,66.0,77.0,78.0,111.0,263.0,278.0,307.0,342.0,369.0,553.0,544.0,603.0,604.0,583.0,603.0,585.0,316.0,2307.0,2207.0,1695.0,375.0,820.0,1324.0,662.0,1536.0,1790.0,1789.0,1943.0,2010.0,2071.0
